Slug	Name	Dimension	Granularity	Function_name	Formalization_latex	Formalization_fp	Description_fp
activity-instance-count-by-human-resource-group-of-cases-granularity-q-g	activity Instance count by Human Resource (group of cases granularity)	Q	G	\(\mathit{IbyHR}(g, \mathit{hr})\)	\(\sum _{c \in g} \mathit{IbyHR}(c, \mathit{hr})\)	\(\sum _{c \in g} \mathit{IbyHR}(c, \mathit{hr})\)	\(\mathit{IbyHR}(c, \mathit{hr})\) returns the activity instance count by human resource \(\mathit{hr}\) in case \(c\). \\
activity-instance-count-by-role-case-granularity-q-c	activity Instance count by Role (case granularity)	Q	C	\(\mathit{IbyRole}(c, \mathit{rl})\)	\(|\{i \in \mathit{inst}(c) \mid \mathit{role}(i) = \mathit{rl}\}|\)	"\(\displaystyle \sum_{i \in \mathit{inst}(c)}
\begin{cases}
1 & \text{if } \mathit{role}(i) = \mathit{rl} \\
0 & \text{otherwise}
\end{cases}
\)"	"\(\mathit{inst}(c)\) returns the set of all activity instances in case \(c\).
\newline \(\mathit{role}(i)\) returns the role associated with activity instance \(i\). \\"
activity-instance-count-by-role-group-of-cases-granularity-q-g	activity Instance count by Role (group of cases granularity)	Q	G	\(\mathit{IbyRole}(g, \mathit{rl})\)	\(\sum _{c \in g} \mathit{IbyRole}(c, \mathit{rl})\)	\(\sum _{c \in g} \mathit{IbyRole}(c, \mathit{rl})\)	\(\mathit{IbyRole}(c, \mathit{rl})\) returns the activity instance count by role \(\mathit{rl}\) in case \(c\). \\
automated-activity-cost-case-granularity-c-c	Automated Activity Cost (case granularity)	C	C	"\(\mathit{AutC}\mathit{^{\times}}(c)\)
\newline \newline \(\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}\)"	"\(\sum _{i \in \mathit{inst}(c), \mathit{act}(i) \in \mathit{Autl}} \mathit{TC}\mathit{^{\times}}(i)\)
\newline \newline The $\mathit{\times}$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}$. If $\mathit{\times} = \mathit{sgl}$, then the function considers single events of activity instances for cost calculations, i.e., it uses $\mathit{TC}\mathit{^{sgl}}$; if $\mathit{\times} = \mathit{sum}$, then the function considers the sum of all events of activity instances for cost calculations, i.e., it uses $\mathit{TC}\mathit{^{sum}}$."	\(\sum _{i \in \mathit{inst}(c), \mathit{act}(i) \in \mathit{Autl}} \mathit{TC}(i)\)	"\(\mathit{inst}(c)\) returns the set of all activity instances in case \(c\).
\newline \(\mathit{act}(i)\) returns the activity of activity instance \(i\).
\newline \(\mathit{Autl}\) returns the set of automated activities.
\newline \(\mathit{TC}(i)\) returns the cost of activity instance \(i\). \\"
automated-activity-cost-group-of-cases-granularity-c-g	Automated Activity Cost (group of cases granularity)	C	G	"\(\mathit{AutC}\mathit{^{\times}}(g)\)
\newline \newline \(\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}\)"	"\(\sum _{c \in g} \mathit{AutC}\mathit{^{\times}}(c)\)
\newline \newline The $\mathit{\times}$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}$. If $\mathit{\times} = \mathit{sgl}$, then the function considers single events of activity instances for cost calculations, i.e., it uses $\mathit{AutC}\mathit{^{sgl}}$; if $\mathit{\times} = \mathit{sum}$, then the function considers the sum of all events of activity instances for cost calculations, i.e., it uses $\mathit{AutC}\mathit{^{sum}}$."	\(\sum _{c \in g} \mathit{AutC}(c)\)	\(\mathit{AutC}(c)\) returns the automated activity cost for case \(c\). \\
automated-activity-count-case-granularity-q-c	Automated Activity count (case granularity)	Q	C	\(\mathit{Auta}(c)\)	\(|\mathit{Autl} \cap \mathit{act}(c)|\)	"\(\sum_{a \in \mathit{act}(c)} 
\begin{cases}
1 & \text{if } a \text{ is automated} \\
0 & \text{otherwise}
\end{cases}\)"	$\mathit{act}(c)$ returns the set of unique activities that occur in case $c$.\\
automated-activity-count-group-of-cases-granularity-q-g	Automated Activity count (group of cases granularity)	Q	G	\(\mathit{Auta}(g)\)	\(|\mathit{Autl} \cap (\cup_{c \in g} \mathit{act}(c))|\)	"\(\sum_{a \in \mathit{act}(g)} 
\begin{cases}
1 & \text{if } a \text{ is automated} \\
0 & \text{otherwise}
\end{cases}\)"	$\mathit{act}(g)$ returns the set of unique activities that occur in group of cases $g$.\\
automated-activity-count-case-granularity-t-c	Automated Activity count (case granularity)	T	C	\(\mathit{Auta}(c)\)	\(|\mathit{Autl} \cap \mathit{act}(c)|\)	"\(\sum_{a \in \mathit{act}(c)} 
\begin{cases}
1 & \text{if } a \text{ is automated} \\
0 & \text{otherwise}
\end{cases}\)"	$\mathit{act}(c)$ returns the set of unique activities that occur in case $c$.\\
automated-activity-count-group-of-cases-granularity-t-g	Automated Activity count (group of cases granularity)	T	G	\(\mathit{Auta}(g)\)	\(|\mathit{Autl} \cap (\cup_{c \in g} \mathit{act}(c))|\)	"\(\sum_{a \in \mathit{act}(g)} 
\begin{cases}
1 & \text{if } a \text{ is automated} \\
0 & \text{otherwise}
\end{cases}\)"	$\mathit{act}(g)$ returns the set of unique activities that occur in group of cases $g$.\\
automated-activity-instance-count-case-granularity-q-c	Automated activity Instance count (case granularity)	Q	C	\(\mathit{Auti}(c)\)	\(|\{i \in \mathit{inst}(c) \mid \mathit{act}(i) \in \mathit{Autl}\}|\)	"\(\sum_{i \in \mathit{inst}(c)}
\begin{cases}
1 & \text{if } \mathit{act}(i) \text{ is automated} \\
0 & \text{otherwise}
\end{cases}\)"	"$\mathit{inst}(c)$ returns the set of activity instances that occur in case $c$.
\newline $\mathit{act}(i)$ returns the activity associated to activity instance $i$.\\"
automated-activity-instance-count-group-of-cases-granularity-q-g	Automated activity Instance count (group of cases granularity)	Q	G	\(\mathit{Auti}(g)\)	\(\sum _{c \in g} \mathit{Auti}(c)\)	\(\sum _{c \in g} \mathit{Auti}(c)\)	\(\mathit{Auti}(c)\) returns the automated activity instance count for case \(c\). \\
automated-activity-instance-count-case-granularity-t-c	Automated activity Instance count (case granularity)	T	C	\(\mathit{Auti}(c)\)	\(|\{i \in \mathit{inst}(c) \mid \mathit{act}(i) \in \mathit{Autl}\}|\)	"\(\sum_{i \in \mathit{inst}(c)}
\begin{cases}
1 & \text{if } \mathit{act}(i) \text{ is automated} \\
0 & \text{otherwise}
\end{cases}\)"	"$\mathit{inst}(c)$ returns the set of activity instances that occur in case $c$.
\newline $\mathit{act}(i)$ returns the activity associated to activity instance $i$.\\"
automated-activity-instance-count-group-of-cases-granularity-t-g	Automated activity Instance count (group of cases granularity)	T	G	\(\mathit{Auti}(g)\)	\(\sum _{c \in g} \mathit{Auti}(c)\)	\(\sum_{c \in \mathit{cases}(g)} \mathit{Auti}(c)\)	"$\mathit{cases}(g)$ returns the set of cases in group of cases $g$.
\newline $\mathit{Auti}(c)$ returns the automated activity instance count of case $c$.\\"
automated-activity-service-time-case-granularity-t-c	Automated Activity Service Time (case granularity)	T	C	\(\mathit{AutST}(c)\)	\(\sum _{i \in \mathit{inst}(c), \mathit{act}(i) \in \mathit{Autl}} \mathit{ST}(i)\)	\(\sum_{i \in \mathit{inst}(c),\, \mathit{act}(i) \in \mathit{Autl}} \mathit{ST}(i)\)	"$\mathit{inst}(c)$ returns the set of activity instances that occur in case $c$.
\newline $\mathit{act}(i)$ returns the activity associated with activity instance $i$.
\newline $\mathit{Autl}$ denotes the set of automated activities.
\newline $\mathit{ST}(i)$ returns the service time of activity instance $i$.\\"
automated-activity-service-time-group-of-cases-granularity-t-g	Automated Activity Service Time (group of cases granularity)	T	G	\(\mathit{AutST}(g)\)	\(\sum _{c \in g} \mathit{AutST}(c)\)	\(\sum_{c \in \mathit{cases}(g)} \mathit{AutST}(c)\)	"$\mathit{cases}(g)$ returns the set of cases that belong to group of cases $g$.
\newline$\mathit{AutST}(c)$ returns the automated activity service time of case $c$.\\"
case-and-client-count-ratio-group-of-cases-granularity-q-g	Case and Client count Ratio (group of cases granularity)	Q	G	\(\mathit{CCliR}(g)\)	\(\frac{\mathit{C}(g)}{\mathit{Cli}(g)}\)	\(\frac{\mathit{C}(g)}{\mathit{Cli}(g)}\)	"\(\mathit{C}(g)\) returns the number of cases in group \(g\).
\newline \(\mathit{Cli}(g)\) returns the number of clients associated with group \(g\). \\"
case-count-group-of-cases-granularity-g-g	Case count (group of cases granularity)	G	G	\(\mathit{C}(g)\)	\(|g|\)	\(\mathit{count}(\mathit{cases}(g))\)	$\mathit{cases}(g)$ returns the set of cases in group of cases $g$. \\
case-count-and-lead-time-ratio-group-of-cases-granularity-t-g	Case count and Lead Time Ratio (group of cases granularity)	T	G	\(\mathit{CLTR}(g)\)	\(\frac{\mathit{C}(g)}{\mathit{LT}(g)}\)		
case-count-where-activity-after-time-frame-group-of-cases-granularity-q-g	Case Count where Activity after Time Frame (group of cases granularity)	Q	G	\(\mathit{CApastTFC}(g, \mathit{a}, \mathit{et})\)	\(|\{c \in g \mid \exists i \in \mathit{inst}(c, \mathit{a})[\mathit{stime}(i) \geq \mathit{et}]\}|\)	"\(\displaystyle \sum_{c \in g}
\begin{cases}
1 & \text{if } \exists i \in \mathit{inst}(c, \mathit{a})[\mathit{stime}(i) \geq \mathit{et}] \\
0 & \text{otherwise}
\end{cases}
\)"	"\(\mathit{inst}(c, \mathit{a})\) returns the set of all instances of activity \(\mathit{a}\) in case \(c\).
\newline \(\mathit{stime}(i)\) returns the start timestamp of activity instance \(i\). \\"
case-count-where-activity-before-time-frame-group-of-cases-granularity-q-g	Case Count where Activity before Time Frame (group of cases granularity)	Q	G	\(\mathit{CAdueTFC}(g, \mathit{a}, \mathit{st})\)	\(|\{c \in g \mid \exists i \in \mathit{inst}(c, \mathit{a})[\mathit{stime}(i) \leq \mathit{st}]\}|\)	"\(\displaystyle \sum_{c \in g}
\begin{cases}
1 & \text{if } \exists i \in \mathit{inst}(c, \mathit{a})[\mathit{stime}(i) \leq \mathit{st}] \\
0 & \text{otherwise}
\end{cases}
\)"	"\(\mathit{inst}(c, \mathit{a})\) returns the set of all instances of activity \(\mathit{a}\) in case \(c\).
\newline \(\mathit{stime}(i)\) returns the start timestamp of activity instance \(i\). \\"
case-count-where-activity-during-time-frame-group-of-cases-granularity-q-g	Case Count where Activity during Time Frame (group of cases granularity)	Q	G	\(\mathit{CAinTFC}(g, \mathit{a}, \mathit{st}, \mathit{et})\)	\(|\{c \in g \mid \exists i \in \mathit{inst}(c, \mathit{a})[\mathit{st} \leq \mathit{stime}(i) \land \mathit{stime}(i) \leq \mathit{et}]\}|\)	"\(\displaystyle \sum_{c \in g}
\begin{cases}
1 & \text{if } \exists i \in \mathit{inst}(c, \mathit{a})[\mathit{st} \leq \mathit{stime}(i) \land \mathit{stime}(i) \leq \mathit{et}] \\
0 & \text{otherwise}
\end{cases}
\)"	"\(\mathit{inst}(c, \mathit{a})\) returns the set of all instances of activity \(\mathit{a}\) in case \(c\).
\newline \(\mathit{stime}(i)\) returns the start timestamp of activity instance \(i\). \\"
case-count-where-end-activity-is-a-group-of-cases-granularity-q-g	Case Count where end activity is A (group of cases granularity)	Q	G	\(\mathit{CendAC}(g, \mathit{a})\)	\(|\{c \in g \mid \exists i \in \mathit{endin}(c)[\mathit{act}(i) = \mathit{a}]\}|\)	"\(\displaystyle \sum_{c \in g}
\begin{cases}
1 & \text{if } \exists i \in \mathit{endin}(c)[\mathit{act}(i) = \mathit{a}] \\
0 & \text{otherwise}
\end{cases}
\)"	"\(\mathit{endin}(c)\) returns the set of last activity instances in case \(c\).
\newline \(\mathit{act}(i)\) returns the activity of activity instance \(i\). \\"
case-count-where-lead-time-over-value-group-of-cases-granularity-t-g	Case Count where Lead Time Over value (group of cases granularity)	T	G	\(\mathit{CLTOC}(g, \mathit{val})\)	\(|\{c \in g \mid \mathit{LT}(c) > \mathit{val}\}|\)		
case-count-where-start-activity-is-a-group-of-cases-granularity-q-g	Case Count where start activity is A (group of cases granularity)	Q	G	\(\mathit{CstartAC}(g, \mathit{a})\)	\(|\{c \in g \mid \exists i \in \mathit{strin}(c)[\mathit{act}(i) = \mathit{a}]\}|\)	"\(\displaystyle \sum_{c \in g}
\begin{cases}
1 & \text{if } \exists i \in \mathit{strin}(c)[\mathit{act}(i) = \mathit{a}] \\
0 & \text{otherwise}
\end{cases}
\)"	"\(\mathit{strin}(c)\) returns the set of first activity instances in case \(c\).
\newline \(\mathit{act}(i)\) returns the activity of activity instance \(i\). \\"
case-count-with-rework-group-of-cases-granularity-q-g	Case Count with Rework (group of cases granularity)	Q	G	\(\mathit{CRewC}(g)\)	\(|\{c \in g \mid \mathit{RewC}(c) > 0\}|\)	"\(\displaystyle \sum_{c \in g}
\begin{cases}
1 & \text{if } \mathit{RewC}(c) > 0 \\
0 & \text{otherwise}
\end{cases}
\)"	\(\mathit{RewC}(c)\) returns the rework count for case \(c\). \\
case-percentage-where-activity-after-time-frame-group-of-cases-granularity-q-g	Case Percentage where Activity after Time Frame (group of cases granularity)	Q	G	\(\mathit{CApastTFP}(g, \mathit{a}, \mathit{et})\)	\(\frac{\mathit{CApastTFC}(g, \mathit{a}, \mathit{et})}{\mathit{C}(g)}\)	\(\frac{\mathit{CApastTFC}(g, \mathit{a}, \mathit{et})}{\mathit{C}(g)}\)	"\(\mathit{CApastTFC}(g, \mathit{a}, \mathit{et})\) returns the case count where activity \(\mathit{a}\) starts after time frame \(\mathit{et}\) in group \(g\).
\newline \(\mathit{C}(g)\) returns the number of cases in group \(g\). \\"
case-percentage-where-activity-before-time-frame-group-of-cases-granularity-q-g	Case Percentage where Activity before Time Frame (group of cases granularity)	Q	G	\(\mathit{CAdueTFP}(g, \mathit{a}, \mathit{st})\)	\(\frac{\mathit{CAdueTFC}(g, \mathit{a}, \mathit{st})}{\mathit{C}(g)}\)	\(\frac{\mathit{CAdueTFC}(g, \mathit{a}, \mathit{st})}{\mathit{C}(g)}\)	"\(\mathit{CAdueTFC}(g, \mathit{a}, \mathit{st})\) returns the case count where activity \(\mathit{a}\) starts before time frame \(\mathit{st}\) in group \(g\).
\newline \(\mathit{C}(g)\) returns the number of cases in group \(g\). \\"
case-percentage-where-activity-during-time-frame-group-of-cases-granularity-q-g	Case Percentage where Activity during Time Frame (group of cases granularity)	Q	G	\(\mathit{CAinTFP}(g, \mathit{a}, \mathit{st}, \mathit{et})\)	\(\frac{\mathit{CAinTFC}(g, \mathit{a}, \mathit{st}, \mathit{et})}{\mathit{C}(g)}\)	\(\frac{\mathit{CAinTFC}(g, \mathit{a}, \mathit{st}, \mathit{et})}{\mathit{C}(g)}\)	"\(\mathit{CAinTFC}(g, \mathit{a}, \mathit{st}, \mathit{et})\) returns the case count where activity \(\mathit{a}\) starts during the time frame in group \(g\).
\newline \(\mathit{C}(g)\) returns the number of cases in group \(g\). \\"
case-percentage-where-end-activity-is-a-group-of-cases-granularity-q-g	Case Percentage where End Activity is A (group of cases granularity)	Q	G	\(\mathit{CendAP}(g, \mathit{a})\)	\(\frac{\mathit{CendAC}(g, \mathit{a})}{\mathit{C}(g)}\)	\(\frac{\mathit{CendAC}(g, \mathit{a})}{\mathit{C}(g)}\)	"\(\mathit{CendAC}(g, \mathit{a})\) returns the case count where the end activity is \(\mathit{a}\) in group \(g\).
\newline \(\mathit{C}(g)\) returns the number of cases in group \(g\). \\"
case-percentage-where-lead-time-over-value-group-of-cases-granularity-t-g	Case Percentage where Lead Time Over value (group of cases granularity)	T	G	\(\mathit{CLTOP}(g, \mathit{val})\)	\(\frac{\mathit{CLTOC}(g, \mathit{val})}{\mathit{C}(g)}\)		
case-percentage-where-start-activity-is-a-group-of-cases-granularity-q-g	Case Percentage where Start Activity is A (group of cases granularity)	Q	G	\(\mathit{CstartAP}(g, \mathit{a})\)	\(\frac{\mathit{CstartAC}(g, \mathit{a})}{\mathit{C}(g)}\)	\(\frac{\mathit{CstartAC}(g, \mathit{a})}{\mathit{C}(g)}\)	"\(\mathit{CstartAC}(g, \mathit{a})\) returns the case count where the start activity is \(\mathit{a}\) in group \(g\).
\newline \(\mathit{C}(g)\) returns the number of cases in group \(g\). \\"
case-percentage-with-missed-deadline-group-of-cases-granularity-q-g	Case Percentage with Missed Deadline (group of cases granularity)	Q	G	\(\mathit{CMDP}(g, \mathit{val})\)	\(\frac{|\{c \in g \mid \mathit{endt}(c) > \mathit{val}\}|}{\mathit{C}(g)}\)	"\(\displaystyle \frac{
\sum_{c \in g}
\begin{cases}
1 & \text{if } \mathit{endt}(c) > \mathit{val} \\
0 & \text{otherwise}
\end{cases}
}{\mathit{C}(g)}\)"	"\(\mathit{endt}(c)\) returns the completion timestamp of case \(c\).
\newline \(\mathit{C}(g)\) returns the number of cases in group \(g\). \\"
case-percentage-with-missed-deadline-group-of-cases-granularity-t-g	Case Percentage with Missed Deadline (group of cases granularity)	T	G	\(\mathit{CMDP}(g, \mathit{val})\)	\(\frac{|\{c \in g \mid \mathit{endt}(c) > \mathit{val}\}|}{\mathit{C}(g)}\)	"\(\displaystyle \frac{
\sum_{c \in g}
\begin{cases}
1 & \text{if } \mathit{endt}(c) > \mathit{val} \\
0 & \text{otherwise}
\end{cases}
}{\mathit{C}(g)}\)"	"\(\mathit{endt}(c)\) returns the completion timestamp of case \(c\).
\newline \(\mathit{C}(g)\) returns the number of cases in group \(g\). \\"
case-percentage-with-rework-group-of-cases-granularity-q-g	Case Percentage with Rework (group of cases granularity)	Q	G	\(\mathit{CRewP}(g)\)	\(\frac{\mathit{CRewC}(g)}{\mathit{C}(g)}\)	\(\frac{\mathit{CRewC}(g)}{\mathit{C}(g)}\)	"\(\mathit{CRewC}(g)\) returns the case count with rework in group \(g\).
\newline \(\mathit{C}(g)\) returns the number of cases in group \(g\). \\"
client-count-activity-granularity-f-a	Client count (activity granularity)	F	A	\(\mathit{Cli}(a)\)	\(|\{\#^{}_{\mathit{cli}}(c) \mid c \in C[a \in \mathit{act}(c)]\}|\)	\(\mathit{count}(\mathit{Cli}(a))\)	\(\mathit{Cli}(a)\) returns the set of distinct client identifiers associated with activity $a$. \\
client-count-group-of-cases-granularity-f-g	Client count (group of cases granularity)	F	G	\(\mathit{Cli}(g)\)	\(|\{\#^{}_{\mathit{cli}}(c) \mid c \in g\}|\)	\(\mathit{count}(\mathit{Cli}(g))\)	\(\mathit{Cli}(g)\) returns the set of distinct client identifiers associated with case group $g$. \\
client-count-and-total-cost-ratio-activity-granularity-q-a	Client count and Total Cost Ratio (activity granularity)	Q	A	"\(\mathit{CliTCR}\mathit{^{\times}}(a)\)
\newline \newline \(\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}\)"	"\(\frac{\mathit{Cli}(a)}{\mathit{TC}\mathit{^{\times}}(a)}\)
\newline \newline The $\mathit{\times}$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}$. If $\mathit{\times} = \mathit{sgl}$, then the function considers single events of activity instances for cost calculations, i.e., it uses $\mathit{TC}\mathit{^{sgl}}$; if $\mathit{\times} = \mathit{sum}$, then the function considers the sum of all events of activity instances for cost calculations, i.e., it uses $\mathit{TC}\mathit{^{sum}}$."	\(\frac{\mathit{Cli}(a)}{\mathit{TC}(a)}\)	"\(\mathit{Cli}(a)\) returns the number of distinct clients involved in activity \(a\).
\newline \(\mathit{TC}(a)\) returns the total cost of activity \(a\). \\"
client-count-and-total-cost-ratio-group-of-cases-granularity-q-g	Client count and Total Cost Ratio (group of cases granularity)	Q	G	"\(\mathit{CliTCR}\mathit{^{\times}}(g)\)
\newline \newline \(\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}\)"	"\(\frac{\mathit{Cli}(g)}{\mathit{TC}\mathit{^{\times}}(g)}\)
\newline \newline The $\mathit{\times}$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}$. If $\mathit{\times} = \mathit{sgl}$, then the function considers single events of activity instances for cost calculations, i.e., it uses $\mathit{TC}\mathit{^{sgl}}$; if $\mathit{\times} = \mathit{sum}$, then the function considers the sum of all events of activity instances for cost calculations, i.e., it uses $\mathit{TC}\mathit{^{sum}}$."	\(\frac{\mathit{Cli}(g)}{\mathit{TC}(g)}\)	"\(\mathit{Cli}(g)\) returns the number of distinct clients associated with group \(g\).
\newline \(\mathit{TC}(g)\) returns the total cost of case group \(g\). \\"
desired-activity-count-case-granularity-c-c	Desired Activity count (case granularity)	C	C	\(\mathit{DAC}(c)\)	\(| \mathit{Desl} \cap \mathit{act}(c)|\)	\(\mathit{count}( \mathit{Desl} \cap \mathit{act}(c))\)	"\(\mathit{Desl}\) returns the set of desired activities.
\newline \(\mathit{act}(c)\) returns the set of activities that occurred in case \(c\). \\"
desired-activity-count-group-of-cases-granularity-c-g	Desired Activity count (group of cases granularity)	C	G	\(\mathit{DAC}(g)\)	\(|\mathit{Desl} \cap (\cup_{c \in g} \mathit{act}(c))|\)	\(\mathit{count}(\mathit{Desl} \cap (\cup_{c \in g} \mathit{act}(c)))\)	"\(\mathit{Desl}\) returns the set of desired activities.
\newline \(\mathit{act}(c)\) returns the set of activities that occurred in case \(c\). \\"
desired-activity-count-case-granularity-q-c	Desired Activity count (case granularity)	Q	C	\(\mathit{DAC}(c)\)	\(| \mathit{Desl} \cap \mathit{act}(c)|\)	\(\mathit{count}(\mathit{Desl} \cap \mathit{act}(c))\)	"\(\mathit{Desl}\) returns the set of desired activities.
\newline \(\mathit{act}(c)\) returns the set of activities that occurred in case \(c\). \\"
